指标,LSTM (初始),GRU (初始),Refined GRU
MAE ($),14331.376953125,13863.2548828125,13546.41796875
RMSE ($),25644.084542053748,23145.483533510378,23774.52350731766
WMAE ($),14372.122039102207,13936.57689731583,13626.890747821606
